PROVINCIA;COMUNE;STAZIONE;DATACAMPIONAMENTO;PARAMETRO;VALORE_NUMERICO;GEO_Y;GEO_X
CR;Stagno Lombardo;Stagno Lombardo;23.06.2016;pH;7.64;45.05292141;10.06451635
LO;Montanaso Lombardo;Montanaso Lombardo;15.12.2016;Escherichia coli;435.2;45.33940456;9.486785435
MN;Roncoferraro;Roncoferraro;03.02.2016;pH;8;45.08465138;10.95326725
BS;Prevalle;Prevalle;20.06.2016;Ossigeno disciolto;;45.53358951;10.43349261
SO;Tirano;Tirano;17.08.2016;Temperatura acqua;15.5;46.20990771;10.15036701
BG;Costa Volpino;Costa Volpino;08.06.2016;Ossigeno disciolto;10.66;45.82636852;10.10452261
VA;Somma Lombardo;Somma Lombardo;05.04.2016;Temperatura acqua;12.9;45.67705954;8.68323188
PV;Cervesina;Cervesina;12.10.2016;Ossigeno disciolto;5.95;45.06301792;9.014264402
MN;Gazzuolo;Gazzuolo;02.11.2016;Conducibilità elettrica a 20°C;662;45.04432064;10.59433446
VA;Sesto Calende;Sesto Calende;02.03.2016;Conducibilità elettrica a 20°C;184;45.72469289;8.626972712
MN;Viadana;Viadana;12.01.2016;Conducibilità elettrica a 20°C;426.5;44.9121599;10.53632845
BG;Credaro;Credaro;21.12.2016;pH;7.77;45.65067099;9.922542116
BG;Nembro;Nembro;02.11.2016;pH;8.05;45.75010831;9.780312514
BS;Collio;Collio;09.03.2016;pH;8.23;45.82138482;10.33502574
MI;Milano;Milano;14.12.2016;Escherichia coli;248.9;45.45041044;9.168015102
BG;Filago;Filago;21.09.2016;Ossigeno disciolto;9.38;45.63110708;9.550936465
MI;Abbiategrasso;Abbiategrasso;10.08.2016;Temperatura acqua;22.15;45.38694025;8.859205589
SO;Chiesa in Valmalenco;Chiesa in Valmalenco;10.02.2016;pH;8.6;46.26898752;9.854065898
LC;Bellano;Bellano;14.03.2016;Escherichia coli;900;46.04200977;9.298703771
MI;Truccazzano;Trucazzano;18.05.2016;Temperatura acqua;19.87;45.46825292;9.443553627
BS;Chiari;Chiari;05.09.2016;Temperatura acqua;24;45.52498336;9.909037683
MI;PADERNO DUGNANO;Paderno Dugnano;17.11.2016;pH;8.14;45.53817049;9.182187817
LO;Montanaso Lombardo;Montanaso Lombardo;21.06.2016;Conducibilità elettrica a 20°C;209;45.33940456;9.486785435
PV;Ponte Nizza;Ponte Nizza;13.12.2016;Escherichia coli;100;44.85070902;9.097973417
MN;Ponti sul Mincio;Ponti sul Mincio;04.04.2016;Conducibilità elettrica a 20°C;508;45.39498245;10.70507601
PV;Bressana Bottarone;Bressana Bottarone;08.03.2016;Ossigeno disciolto;11.51;45.07978335;9.12416944
CO;Gera Lario;Gera Lario;31.08.2016;Ossigeno disciolto;10.6;46.14975406;9.4128793
PV;San Zenone al Po;S. Zenone Po;19.08.2016;Escherichia coli;;45.10888783;9.363088336
PV;Bereguardo;Bereguardo;13.06.2016;Escherichia coli;100;45.23467838;9.007681969
BS;Collio;Collio;14.06.2016;pH;8.4;45.82138482;10.33502574
MI;Trezzo sull'Adda;Trezzo dAdda;15.03.2016;Temperatura acqua;13.19;45.60216987;9.529956696
CR;Cremona;Cremona;19.05.2016;Conducibilità elettrica a 20°C;306;45.12835471;9.994733459
PV;San Zenone al Po;S. Zenone Po;11.02.2016;Ossigeno disciolto;11.06;45.10888783;9.363088336
BG;Mornico al Serio;Mornico al Serio;09.05.2016;pH;;45.58439844;9.808678961
MB;Cesano Maderno;Seveso;02.08.2016;Temperatura acqua;21.93;45.64615771;9.147578923
MN;Viadana;Viadana;06.12.2016;Ossigeno disciolto;11.4;44.9121599;10.53632845
LO;Castiraga Vidardo;Castiraga Vidardo;21.01.2016;Conducibilità elettrica a 20°C;621;45.25707816;9.394866059
CR;Pizzighettone;Pizzighettone;02.08.2016;Ossigeno disciolto;6.83;45.20654984;9.811291315
BS;Rezzato;Rezzato;19.09.2016;pH;8.2;45.50818246;10.33296381
CO;COMO;Como;01.12.2016;pH;8.3;45.80282546;9.107056137
BS;Pisogne;Pisogne;22.11.2016;pH;8.68;45.81030494;10.10798848
CR;Corte de' Frati;Corte  de Frati;05.12.2016;Conducibilità elettrica a 20°C;287;45.20802867;10.10960784
MN;Canneto sull'Oglio;Canneto sullOglio;07.03.2016;Ossigeno disciolto;;45.17949689;10.31377407
MI;San Donato Milanese;S. Donato Milanese;16.11.2016;Conducibilità elettrica a 20°C;470;45.40837714;9.269981843
LO;Orio Litta;Orio Litta;25.02.2016;Escherichia coli;;45.16557812;9.532104418
BG;Bonate Sopra;Bonate Sopra;20.06.2016;Temperatura acqua;16;45.67740488;9.5624339
BG;Canonica d'Adda;Canonica dAdda;27.01.2016;Ossigeno disciolto;12.19;45.58969655;9.552325217
MI;Abbiategrasso;Abbiategrasso;10.08.2016;pH;7.91;45.36518553;8.860280722
VA;Golasecca;Golasecca;10.10.2016;Temperatura acqua;15.5;45.70554447;8.654411314
BG;Ponte Nossa;Ponte Nossa;03.11.2016;pH;8.39;45.85847449;9.879471871
BG;Brembate di Sopra;Brembate Sopra;15.03.2016;Temperatura acqua;7.6;45.71022021;9.587687711
CO;Domaso;Domaso;21.03.2016;Ossigeno disciolto;9.6;46.15444601;9.329034028
CR;Cremona;Cremona;14.09.2016;Temperatura acqua;21;45.1638098;10.04137355
MI;Casarile;Casarile;29.06.2016;Conducibilità elettrica a 20°C;135;45.31478577;9.107332194
SO;Valdidentro;Valdidentro;09.08.2016;Ossigeno disciolto;10.2;46.43381984;10.197637
BG;Valbondione;Val Bondione;27.09.2016;pH;7.31;46.03386541;10.00268923
MI;Legnano;Legnano;02.11.2016;Ossigeno disciolto;10.41;45.58927075;8.920712912
MN;Bagnolo San Vito;Bagnolo S. Vito;10.05.2016;Ossigeno disciolto;5.97;45.10014006;10.88872109
BG;Costa Volpino;Costa Volpino;15.02.2016;Ossigeno disciolto;11.32;45.82636852;10.10452261
BS;Artogne;Artogne;09.11.2016;Ossigeno disciolto;12.11;45.84735859;10.15973814
BG;Valbondione;Val Bondione;27.09.2016;Temperatura acqua;11.6;46.03386541;10.00268923
BG;Trescore Balneario;Trescore Balneario;21.12.2016;Ossigeno disciolto;10.31;45.70628523;9.82993221
VA;Germignaga;Germignaga;12.01.2016;Temperatura acqua;7;45.9913793;8.734260723
CO;Lasnigo;Lasnigo;08.02.2016;pH;8.2;45.88184542;9.263547319
MN;Ceresara;Ceresara;08.09.2016;Temperatura acqua;25;45.27174902;10.57124709
MI;Truccazzano;Trucazzano;15.09.2016;Temperatura acqua;21.15;45.46825292;9.443553627
LO;San Martino in Strada;S. Martino in Strada;24.03.2016;Ossigeno disciolto;10.66;45.26380011;9.541189189
VA;Germignaga;Germignaga;02.02.2016;Temperatura acqua;8;45.9913793;8.734260723
CR;Cremona;Cremona;09.08.2016;pH;7.94;45.1638098;10.04137355
LO;Orio Litta;Orio Litta;24.03.2016;Ossigeno disciolto;7.63;45.16557812;9.532104418
BS;Gussago;Gussago;09.03.2016;Temperatura acqua;9.3;45.55344624;10.14517414
LO;Santo Stefano Lodigiano;S. Stefano Lodigiano;11.02.2016;pH;7.89;45.10578654;9.736683697
LO;Fombio;Fombio;03.08.2016;Conducibilità elettrica a 20°C;287;45.12301134;9.686113235
BG;Palosco;Palosco;22.12.2016;Ossigeno disciolto;11.85;45.58284327;9.835674785
BS;Lodrino;Lodrino;21.06.2016;Conducibilità elettrica a 20°C;878;45.71221222;10.25092783
MI;Rho;Rho;24.11.2016;Escherichia coli;19863;45.52203114;9.051016485
CR;Piadena;Piadena;22.06.2016;Conducibilità elettrica a 20°C;470;45.13274124;10.39428604
LO;Sant'Angelo Lodigiano;Sant.Angelo Lodigiano;17.02.2016;Ossigeno disciolto;7.66;45.24315479;9.41462148
BG;Seriate;Seriate;02.11.2016;Temperatura acqua;11.4;45.67955117;9.724501967
BS;Castenedolo;Castenedolo;30.11.2016;pH;8.2;45.45464997;10.27815276
CR;Corte de' Frati;Corte  de Frati;07.03.2016;pH;8.4;45.20802867;10.10960784
BS;Berzo Inferiore;Berzo Inferiore;22.09.2016;Escherichia coli;246;45.926243;10.28228649
BS;Vobarno;Vobarno;14.06.2016;Temperatura acqua;16.2;45.64971577;10.50015452
MN;Canneto sull'Oglio;Canneto SullOglio;07.03.2016;Escherichia coli;1918;45.15644252;10.41260642
MN;Canneto sull'Oglio;Canneto sullOglio;07.03.2016;Escherichia coli;2014;45.17949689;10.31377407
MN;Roncoferraro;Roncoferraro;10.05.2016;pH;8.11;45.08465138;10.95326725
MI;PERO;Pero;12.07.2016;Ossigeno disciolto;6.69;45.51574337;9.070994153
BS;Vestone;Vestone;14.03.2016;pH;8.73;45.70196251;10.38720124
BG;Arzago d'Adda;Arzago dAdda;27.01.2016;Ossigeno disciolto;13.42;45.4856483;9.587775605
PV;Spessa;Arena Po;14.07.2016;Escherichia coli;;45.10434652;9.347170943
BG;Arzago d'Adda;Arzago dAdda;20.10.2016;Ossigeno disciolto;10.9;45.4856483;9.587775605
MN;Sabbioneta;Sabbioneta;10.02.2016;pH;7.84;44.9838967;10.50310913
SO;Ardenno;Ardenno;03.11.2016;Temperatura acqua;9;46.15740322;9.64421008
BG;Valbondione;Val Bondione;27.09.2016;Escherichia coli;40;46.03386541;10.00268923
PV;Bereguardo;Bereguardo;08.03.2016;Temperatura acqua;8.71;45.23467838;9.007681969
MN;Ceresara;Ceresara;04.07.2016;Escherichia coli;1100;45.27174902;10.57124709
SO;Sondrio;Sondrio;01.08.2016;Ossigeno disciolto;10.5;46.16269333;9.853352103
BS;Rovato;Rovato;01.09.2016;Ossigeno disciolto;8.7;45.56085658;10.0041143
